ULA,Atlas V 411 | Solar Orbiter,StatusActive,115.0 ,Success,2020,Feb,Mon,10,243.0,USA
ISA,Simorgh | Zafar 1,StatusActive,nan,Failure,2020,Feb,Sun,9,948.0,Iran
MHI,H-IIA 202 | IGS-Optical 7,StatusActive,90.0 ,Success,2020,Feb,Sun,9,94.0,Japan
Arianespace,Soyuz 2.1b/Fregat | OneWeb #2,StatusActive,48.5 ,Success,2020,Feb,Thu,6,1302.0,Kazakhstan
Rocket Lab,Electron/Curie | Birds of a Feather / NROL-151,StatusActive,7.5 ,Success,2020,Jan,Fri,31,176.0,New Zealand
SpaceX,Falcon 9 Block 5 | Starlink V1 L3,StatusActive,50.0 ,Success,2020,Jan,Wed,29,846.0,USA
SpaceX,Falcon 9 Block 5 | Crew Dragon Inflight Abort Test,StatusActive,50.0 ,Success,2020,Jan,Sun,19,930.0,USA
Arianespace,Ariane 5 ECA | Eutelsat Konnect BB4A & GSAT-30,StatusActive,200.0 ,Success,2020,Jan,Thu,16,1265.0,France
ExPace,Kuaizhou 1A | Yinhe-1,StatusActive,nan,Success,2020,Jan,Thu,16,182.0,China
CASC,Long March 2D | Jilin-1 Wideband 01 & ??uSat-7/8,StatusActive,29.75 ,Success,2020,Jan,Wed,15,173.0,China
CASC,Long March 3B/E | TJSW-5,StatusActive,29.15 ,Success,2020,Jan,Tue,7,920.0,China
SpaceX,Falcon 9 Block 5 | Starlink V1 L2,StatusActive,50.0 ,Success,2020,Jan,Tue,7,139.0,USA
CASC,Long March 5 | Shijian-20,StatusActive,nan,Success,2019,Dec,Fri,27,765.0,China
VKS RF,"Rokot/Briz KM | Gonets-M ???24, 25, 26 [block-15] & Blits-M1",StatusRetired,41.8 ,Success,2019,Dec,Thu,26,1391.0,Russia
Roscosmos,Proton-M/DM-3 | Elektro-L n†­3,StatusActive,65.0 ,Success,2019,Dec,Tue,24,723.0,Kazakhstan
ULA,Atlas V N22 | Starliner OFT,StatusActive,nan,Success,2019,Dec,Fri,20,696.0,USA
CASC,"Long March 4B | CBERS-4A, ETRSS-1 & Others",StatusActive,64.68 ,Success,2019,Dec,Fri,20,202.0,China
Arianespace,"Soyuz ST-A/Fregat-M | CSG-1, CHEOPS & Others",StatusActive,nan,Success,2019,Dec,Wed,18,534.0,France
SpaceX,Falcon 9 Block 5 | JCSAT-18 / Kacific-1,StatusActive,50.0 ,Success,2019,Dec,Tue,17,10.0,USA
CASC,Long March 3B/YZ-1 | BeiDou-3 M19 & M20,StatusActive,nan,Success,2019,Dec,Mon,16,442.0,China
Blue Origin,New Shepard | NS-12,StatusActive,nan,Success,2019,Dec,Wed,11,1075.0,USA
ISRO,PSLV-QL | RISAT 2BR1,StatusActive,21.0 ,Success,2019,Dec,Wed,11,595.0,India
VKS RF,Soyuz 2.1b/Fregat | Cosmos 2544,StatusActive,48.5 ,Success,2019,Dec,Wed,11,534.0,Russia
ExPace,Kuaizhou 1A | HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,StatusActive,nan,Success,2019,Dec,Sat,7,532.0,China
ExPace,Kuaizhou 1A | Jilin-1 Gaofen-02B,StatusActive,nan,Success,2019,Dec,Sat,7,175.0,China
Roscosmos,Soyuz 2.1a | Progress MS-13 (74P),StatusActive,48.5 ,Success,2019,Dec,Fri,6,574.0,Kazakhstan
Rocket Lab,Electron/Curie | Running Out Of Fingers,StatusActive,7.5 ,Success,2019,Dec,Fri,6,498.0,New Zealand
SpaceX,Falcon 9 Block 5 | CRS-19,StatusActive,50.0 ,Success,2019,Dec,Thu,5,1049.0,USA
CASC,Long March 4C | Gaofen-12,StatusActive,64.68 ,Success,2019,Nov,Wed,27,1432.0,China
ISRO,PSLV-XL | Cartosat-3 & Rideshares,StatusActive,31.0 ,Success,2019,Nov,Wed,27,238.0,India
Arianespace,Ariane 5 ECA | Inmarsat 5 F5 & TIBA-1,StatusActive,200.0 ,Success,2019,Nov,Tue,26,1283.0,France
VKS RF,Soyuz 2.1v/Volga | Cosmos 2542 & 2543,StatusActive,nan,Success,2019,Nov,Mon,25,1072.0,Russia
CASC,Long March 3B/YZ-1 | BeiDou-3 M21 & M22,StatusActive,nan,Success,2019,Nov,Sat,23,55.0,China
ExPace,"Kuaizhou 1A | KL-Alpha A, KL-Alpha B",StatusActive,nan,Success,2019,Nov,Sun,17,600.0,China
CASC,Long March 6 | Ningxia-1 (x5),StatusActive,nan,Success,2019,Nov,Wed,13,395.0,China
ExPace,Kuaizhou 1A | Jilin 1-02A,StatusActive,nan,Success,2019,Nov,Wed,13,220.0,China
SpaceX,Falcon 9 Block 5 | Starlink V1 L1,StatusActive,50.0 ,Success,2019,Nov,Mon,11,896.0,USA
CASC,Long March 3B/E | Beidou-3 IGSO-3,StatusActive,29.15 ,Success,2019,Nov,Mon,4,1063.0,China
CASC,Long March 4B | Gaofen-7,StatusActive,64.68 ,Success,2019,Nov,Sun,3,202.0,China
Northrop,Antares 230+ | CRS NG-12,StatusActive,85.0 ,Success,2019,Nov,Sat,2,839.0,USA
Exos,SARGE | Launch 4,StatusActive,nan,Failure,2019,Oct,Sat,26,1060.0,New Mexico
CASC,Long March 3B/E | TJSW-4,StatusActive,29.15 ,Success,2019,Oct,Thu,17,921.0,China
Rocket Lab,Electron/Curie | As The Crow Flies,StatusActive,7.5 ,Success,2019,Oct,Thu,17,82.0,New Zealand
Northrop,Pegasus XL | ICON,StatusActive,40.0 ,Success,2019,Oct,Fri,11,119.0,USA
ILS,Proton-M/Briz-M | Eutelsat 5 West B & MEV-1,StatusActive,65.0 ,Success,2019,Oct,Wed,9,617.0,Kazakhstan
CASC,Long March 4C | Gaofen 10 (Replacement),StatusActive,64.68 ,Success,2019,Oct,Fri,4,1131.0,China
VKS RF,Soyuz 2.1b/Fregat | Cosmos 2541,StatusActive,48.5 ,Success,2019,Sep,Thu,26,466.0,Russia
Roscosmos,Soyuz FG | Soyuz MS-15 (61S),StatusRetired,nan,Success,2019,Sep,Wed,25,837.0,Kazakhstan
